word,ipa,phonetic
headmaster," ˈhɛdˈmæs tər, -ˈmɑ stər ","HED-MAS-ter, -MAH-ster"
headmistress, ˈhɛdˈmɪs trɪs ,HED-MIS-tris
headphone, ˈhɛdˌfoʊn ,HED-fohn
headphones, ˈhɛdˌfəʊnz ,
headpiece, ˈhɛdˌpis ,HED-pees
headquarters," ˈhɛdˌkwɔr tərz, -ˌkwɔ- ","HED-kwawr-terz, -kwaw-"
headrest, ˈhɛdˌrɛst ,HED-rest
headright, ˈhɛdˌraɪt ,HED-rahyt
headroom," ˈhɛdˌrum, -ˌrʊm ","HED-room, -room"
heads, hɛdz ,hedz
headscarf, ˈhɛdˌskɑːf ,
headset, ˈhɛdˌsɛt ,HED-set
headspace, ˈhɛdˌspeɪs ,HED-speys
headstone, ˈhɛdˌstoʊn ,HED-stohn
headstrong," ˈhɛdˌstrɔŋ, -ˌstrɒŋ ","HED-strawng, -strong"
headwaiter, ˈhɛdˈweɪ tər ,HED-WEY-ter
headwaters," ˈhɛdˌwɔ tərz, -ˌwɒt ərz ","HED-waw-terz, -wot-erz"
headway, ˈhɛdˌweɪ ,HED-wey
headwind, ˈhɛdˌwɪnd ,HED-wind
headword, ˈhɛdˌwɜrd ,HED-wurd
heady, ˈhɛd i ,HED-ee
heal, hil ,heel
healer, ˈhi lər ,HEE-ler
healey, ˈhiːlɪ ,
healing, ˈhi lɪŋ ,HEE-ling
health, hɛlθ ,helth
healthcare, ˈhɛlθˌkɛər ,HELTH-kair
healthful, ˈhɛlθ fəl ,HELTH-fuhl
healthy, ˈhɛl θi ,HEL-thee
healy, ˈhi li ,HEE-lee
heaney, ˈheɪ ni ,HEY-nee
heap, hip ,heep
heaping, ˈhiːpɪŋ ,
hear, hɪər ,heer
heard, hɜrd ,hurd
hearing, ˈhɪər ɪŋ ,HEER-ing
hearken, ˈhɑr kən ,HAHR-kuhn
hearn, hɜrn ,hurn
hearsay, ˈhɪərˌseɪ ,HEER-sey
hearst, hɜrst ,hurst
heart, hɑrt ,hahrt
heartache, ˈhɑrtˌeɪk ,HAHRT-eyk
heartbeat, ˈhɑrtˌbit ,HAHRT-beet
heartbreak, ˈhɑrtˌbreɪk ,HAHRT-breyk
heartbreaker, ˈhɑrtˌbreɪ kər ,HAHRT-brey-ker
heartbreaking, ˈhɑrtˌbreɪ kɪŋ ,HAHRT-brey-king
heartbroken, ˈhɑrtˌbroʊ kən ,HAHRT-broh-kuhn
heartburn, ˈhɑrtˌbɜrn ,HAHRT-burn
heartburning, ˈhɑrtˌbɜr nɪŋ ,HAHRT-bur-ning
hearted, ˈhɑr tɪd ,HAHR-tid
heartedly, ˈhɑr tɪd li ,HAHR-tid-lee
heartening, ˈhɑːtənɪŋ ,
heartfelt, ˈhɑrtˌfɛlt ,HAHRT-felt
heartful, ˈhɑrt fəl ,HAHRT-fuhl
hearth, hɑrθ ,hahrth
hearthside, ˈhɑrθˌsaɪd ,HAHRTH-sahyd
hearthstone, ˈhɑrθˌstoʊn ,HAHRTH-stohn
heartily, ˈhɑr tl i ,HAHR-tl-ee
heartland," ˈhɑrtˌlænd, -lənd ","HAHRT-land, -luhnd"
heartless, ˈhɑrt lɪs ,HAHRT-lis
heartrending, ˈhɑrtˌrɛn dɪŋ ,HAHRT-ren-ding
hearts, hɑːts ,
heartsore," ˈhɑrtˌsɔr, -ˌsoʊr ","HAHRT-sawr, -sohr"
heartstrings, ˈhɑrtˌstrɪŋz ,HAHRT-stringz
heartthrob, ˈhɑrtˌθrɒb ,HAHRT-throb
heartwarming, ˈhɑrtˌwɔr mɪŋ ,HAHRT-wawr-ming
heartwood, ˈhɑrtˌwʊd ,HAHRT-wood
hearty, ˈhɑr ti ,HAHR-tee
heat, hit ,heet
heated, ˈhi tɪd ,HEE-tid
heater, ˈhi tər ,HEE-ter
heath, hiθ ,heeth
heathen, ˈhi ðən ,HEE-thuhn
heathenish, ˈhi ðə nɪʃ ,HEE-thuh-nish
heather, ˈhɛð ər ,HETH-er
heating, ˈhiːtɪŋ ,
heatstroke, ˈhitˌstroʊk ,HEET-strohk
heave, hiv ,heev
heaven, ˈhɛv ən ,HEV-uhn
heavenly, ˈhɛv ən li ,HEV-uhn-lee
heavenward, ˈhɛv ən wərd ,HEV-uhn-werd
heaves, hiːvz ,
heavily, ˈhɛv ə li ,HEV-uh-lee
heaving, ˈhi vɪŋ ,HEE-ving
heavy, ˈhɛv i ,HEV-ee
heavyset, ˈhɛv iˈsɛt ,HEV-ee-SET
heavyweight, ˈhɛv iˌweɪt ,HEV-ee-weyt
hebdomadal, hɛbˈdɒm ə dl ,heb-DOM-uh-dl
hebrew, ˈhi bru ,HEE-broo
hebrews, ˈhi bruz ,HEE-brooz
hebrides, ˈhɛb rɪˌdiz ,HEB-ri-deez
hebron," ˈhi brən, ˈhɛb rən ","HEE-bruhn,HEB-ruhn"
hecate," ˈhɛk ə ti, ˈhɛk ɪt ","HEK-uh-tee,HEK-it"
hecht, hɛkt ,hekt
heck, hɛk ,hek
heckle, ˈhɛk əl ,HEK-uhl
heckler," ˈhɛk lər, ˈhɛk ə lər ","HEK-ler,HEK-uh-ler"
hectare, ˈhɛk tɛər ,HEK-tair
hectic, ˈhɛk tɪk ,HEK-tik
hector, ˈhɛk tər ,HEK-ter
hecuba, ˈhɛk yʊ bə ,HEK-yoo-buh
hed," hid, id ","heed, eed"
heddle, ˈhɛd l ,HED-l
hedge, hɛdʒ ,hej
hedgehog," ˈhɛdʒˌhɒg, -ˌhɔg ","HEJ-hog, -hawg"
hedgerow, ˈhɛdʒˌroʊ ,HEJ-roh
hedonism, ˈhid nˌɪz əm ,HEED-n-iz-uhm
hedonist, ˈhid n ɪst ,HEED-n-ist
hedonistic, ˌhi dənˈɪst ɪk ,hee-duhn-IST-ik
heed, hid ,heed
heedless, ˈhid lɪs ,HEED-lis
heel, hil ,heel
heeled, hild ,heeld
heer, hɪər ,heer
heft, hɛft ,heft
hefty, ˈhɛf ti ,HEF-tee
hegel, ˈheɪ gəl ,HEY-guhl
hegelian," heɪˈgeɪ li ən, hɪˈdʒi- ","hey-GEY-lee-uhn, hi-JEE-"
hegemon, ˈhɛdʒ əˌmɒn ,HEJ-uh-mon
hegemonic, ˌhɛdʒ əˈmɒn ɪk ,hej-uh-MON-ik
hegemony," hɪˈdʒɛm ə ni, ˈhɛdʒ əˌmoʊ ni ","hi-JEM-uh-nee,HEJ-uh-moh-nee"
hegira," hɪˈdʒaɪ rə, ˈhɛdʒ ər ə ","hi-JAHY-ruh,HEJ-er-uh"
heh, heɪ ,hey
heid, hiːd ,
heidelberg," ˈhaɪd lˌbɜrg, ˈhaɪd lˌbɛrk ","HAHYD-l-burg,HAHYD-l-berk"
heidi, ˈhaɪ di ,HAHY-dee
heifer, ˈhɛf ər ,HEF-er
height, haɪt ,hahyt
heighten, ˈhaɪt n ,HAHYT-n
heimdall, ˈheɪmˌdɑl ,HEYM-dahl
heine, ˈhaɪ nə ,HAHY-nuh
heinous, ˈheɪ nəs ,HEY-nuhs
heinrich," ˈhaɪn rɪk, ˈhaɪn rɪx ","HAHYN-rik,HAHYN-rikh"
heinz, haɪnz ,hahynz
heir, ɛər ,air
heiress, ˈɛər ɪs ,AIR-is
heirloom, ˈɛərˌlum ,AIR-loom
heisenberg," ˈhaɪ zənˌbɜrg, ˈhaɪ zənˌbɛrk ","HAHY-zuhn-burg,HAHY-zuhn-berk"
heist, haɪst ,hahyst
hel, hɛl ,hel
held, hɛld ,held
helen, ˈhɛl ən ,HEL-uhn
helena," ˈhɛl ə nə, həˈli nə ","HEL-uh-nuh, huh-LEE-nuh"
helene, həˈlin ,huh-LEEN
helga, ˈhɛl gə ,HEL-guh
helical," ˈhɛl ɪ kəl, ˈhi lɪ- ","HEL-i-kuhl,HEE-li-"
helicase," ˈhɛl ɪˌkeɪs, ˈhi lɪ‑ ","HEL-i-keys,HEE-li‑"
helices, ˈhɛl əˌsiz ,HEL-uh-seez
helicopter," ˈhɛl ɪˌkɒp tər, ˈhi lɪ- ","HEL-i-kop-ter,HEE-li-"
heliocentric, ˌhi li oʊˈsɛn trɪk ,hee-lee-oh-SEN-trik
heliocentrism, ˌhi li əˈsɛn trɪz əm ,hee-lee-uh-SEN-triz-uhm
helios," ˈhi liˌɒs, ‐ˌoʊs ","HEE-lee-os, ‐-ohs"
heliotropic," ˌhi li əˈtrɒp ɪk, -ˈtroʊ pɪk ","hee-lee-uh-TROP-ik, -TROH-pik"
helipad," ˈhɛl əˌpæd, ˈhi lə- ","HEL-uh-pad,HEE-luh-"
helium, ˈhi li əm ,HEE-lee-uhm
helix, ˈhi lɪks ,HEE-liks
hell, hɛl ,hel
hella, ˈhɛl ə ,HEL-uh
hellbender, ˈhɛlˌbɛn dər ,HEL-ben-der
hellbent, ˈhɛlˌbɛnt ,HEL-bent
hellbroth," ˈhɛlˌbrɔθ, -ˌbrɒθ ","HEL-brawth, -broth"
hellenic," hɛˈlɛn ɪk, -ˈli nɪk ","he-LEN-ik, -LEE-nik"
hellenistic, ˌhɛl əˈnɪs tɪk ,hel-uh-NIS-tik
hellenize, ˈhɛl əˌnaɪz ,HEL-uh-nahyz
heller, ˈhɛl ər ,HEL-er
hellfire, ˈhɛlˌfaɪər ,HEL-fahyuhr
hellhound, ˈhɛlˌhaʊnd ,HEL-hound
hellish, ˈhɛl ɪʃ ,HEL-ish
hellman, ˈhɛl mən ,HEL-muhn
hello," hɛˈloʊ, hə-, ˈhɛl oʊ ","he-LOH, huh-,HEL-oh"
hellscape, ˈhɛlˌskeɪp ,HEL-skeyp
helluva, ˈhɛl ə və ,HEL-uh-vuh
helm, hɛlm ,helm
helmand, ˈhɛl mənd ,HEL-muhnd
helmer, ˈhɛlmə ,
helmet, ˈhɛl mɪt ,HEL-mit
helmholtz, ˈhɛlm hoʊlts ,HELM-hohlts
helmsman, ˈhɛlmz mən ,HELMZ-muhn
helot," ˈhɛl ət, ˈhi lət ","HEL-uht,HEE-luht"
help, hɛlp ,help
helper, ˈhɛl pər ,HEL-per
helpful, ˈhɛlp fəl ,HELP-fuhl
helping, ˈhɛl pɪŋ ,HEL-ping
helpless, ˈhɛlp lɪs ,HELP-lis
helpline, ˈhɛlpˌlaɪn ,
helpmate, ˈhɛlpˌmeɪt ,HELP-meyt
helsinki," ˈhɛl sɪŋ ki, hɛlˈsɪŋ- ","HEL-sing-kee, hel-SING-"
hem, hɛm ,hem
hemans," ˈhɛm ənz, ˈhi mənz ","HEM-uhnz,HEE-muhnz"
hematocrit, hɪˈmæt ə krɪt ,hi-MAT-uh-krit
hematopoietic," ˌhi mə toʊ pɔɪˈɛt ɪk, ˌhɛm ə- ","hee-muh-toh-poi-ET-ik, hem-uh-"
hematuria," ˌhi məˈtʊər i ə, -ˈtyʊər-, ˌhɛm ə- ","hee-muh-TOOR-ee-uh, -TYOOR-, hem-uh-"
heme, him ,heem
hemet, ˈhɛm ɪt ,HEM-it
hemi, ˈhɛm i ,HEM-ee
hemicycle, ˈhɛm ɪˌsaɪ kəl ,HEM-i-sahy-kuhl
hemingway, ˈhɛm ɪŋˌweɪ ,HEM-ing-wey
hemiplegia," ˌhɛm ɪˈpli dʒi ə, -dʒə ","hem-i-PLEE-jee-uh, -juh"
hemiptera, hɪˈmɪp tər ə ,hi-MIP-ter-uh
hemisphere, ˈhɛm ɪˌsfɪər ,HEM-i-sfeer
hemispheric, ˌhɛm ɪˈsfɛr ɪk ,hem-i-SFER-ik
hemispherical, ˌhɛm ɪˈsfɛr ɪ kəl ,hem-i-SFER-i-kuhl
hemline, ˈhɛmˌlaɪn ,HEM-lahyn
hemlock, ˈhɛmˌlɒk ,HEM-lok
hemoglobin," ˈhi məˌgloʊ bɪn, ˈhɛm ə- ","HEE-muh-gloh-bin,HEM-uh-"
hemopoiesis," ˌhi mə pɔɪˈi sɪs, ˌhɛm ə- ","hee-muh-poi-EE-sis, hem-uh-"
hemorrhage," ˈhɛm ər ɪdʒ, ˈhɛm rɪdʒ ","HEM-er-ij,HEM-rij"
hemorrhagic, ˌhem əˈrædʒ ɪk ,hem-uh-RAJ-ik
hemp, hɛmp ,hemp
hempstead," ˈhɛmp stɛd, ˈhɛm- ","HEMP-sted,HEM-"
hen, hɛn ,hen
hence, hɛns ,hens
henceforth," ˈhɛnsˈfɔrθ, -ˈfoʊrθ, ˈhɛnsˌfɔrθ, -ˌfoʊrθ ","HENS-FAWRTH, -FOHRTH,HENS-fawrth, -fohrth"
henchman, ˈhɛntʃ mən ,HENCH-muhn
hencoop," ˈhɛnˌkup, -ˌkʊp ","HEN-koop, -koop"
henderson, ˈhɛn dər sən ,HEN-der-suhn
hendon, ˈhɛn dən ,HEN-duhn
hendricks, ˈhɛn drɪks ,HEN-driks
hendrix, ˈhɛn drɪks ,HEN-driks
hendry, ˈhɛndrɪ ,
henhouse, ˈhɛnˌhaʊs ,HEN-hous
henley, ˈhɛn li ,HEN-lee
henna, ˈhɛn ə ,HEN-uh
hennepin," ˈhɛn ə pɪn, ɛnˈpɛ̃ ","HEN-uh-pin, en-PAN"
henri, ˈhɛn ri ,HEN-ree
henrietta, ˌhɛn riˈɛt ə ,hen-ree-ET-uh
henry, ˈhɛn ri ,HEN-ree
henson, ˈhɛn sən ,HEN-suhn
hentoff," ˈhɛn tɔf, ‑tɒf ","HEN-tawf, ‑tof"
hepatic, hɪˈpæt ɪk ,hi-PAT-ik
hepatitis, ˌhɛp əˈtaɪ tɪs ,hep-uh-TAHY-tis
hepburn, ˈhɛpˌbɜrn ,HEP-burn
hephaestus, hɪˈfɛs təs ,hi-FES-tuhs
heptachlor," ˈhɛp təˌklɔr, -ˌkloʊr ","HEP-tuh-klawr, -klohr"
heptagon," ˈhɛp təˌgɒn, -gən ","HEP-tuh-gon, -guhn"
hepzibah," ˈhɛp zə bə, -sə- ","HEP-zuh-buh, -suh-"
her," hɜr, hər, ər ","hur, her, er"
hera," ˈhɪər ə, ˈhɛr ə ","HEER-uh,HER-uh"
heraclitus, ˌhɛr əˈklaɪ təs ,her-uh-KLAHY-tuhs
herald, ˈhɛr əld ,HER-uhld
heralded, ˈhɛr əl dɪd ,HER-uhl-did
heraldic," hɛˈræl dɪk, hə- ","he-RAL-dik, huh-"
heraldry, ˈhɛr əl dri ,HER-uhl-dree
herat, hɛˈrɑt ,he-RAHT
herb," ɜrb, hɜrb ","urb, hurb"
herbaceous," hɜrˈbeɪ ʃəs, ɜr- ","hur-BEY-shuhs, ur-"
herbal," ˈɜr bəl, ˈhɜr- ","UR-buhl,HUR-"
herbarium," hɜrˈbɛər i əm, ɜr- ","hur-BAIR-ee-uhm, ur-"
herbert, ˈhɜr bərt ,HUR-bert
herbicide," ˈhɜr bəˌsaɪd, ˈɜr- ","HUR-buh-sahyd,UR-"
herbivore," ˈhɜr bəˌvɔr, -ˌvoʊr ","HUR-buh-vawr, -vohr"
herbivorous," hɜrˈbɪv ər əs, ɜr- ","hur-BIV-er-uhs, ur-"
herblock, ˈhɜr blɒk ,HUR-blok
herbology," hɜrˈbɒl ə dʒi, ɜr- ","hur-BOL-uh-jee, ur-"
herby," ˈɜr bi, ˈhɜr bi ","UR-bee,HUR-bee"
herculaneum, ˌhɜr kyəˈleɪ ni əm ,hur-kyuh-LEY-nee-uhm
herculean," ˌhɜr kyəˈli ən, hɜrˈkyu li ən ","hur-kyuh-LEE-uhn, hur-KYOO-lee-uhn"
hercules, ˈhɜr kyəˌliz ,HUR-kyuh-leez
herd, hɜrd ,hurd
herder, ˈhɜr dər ,HUR-der
herdsman, ˈhɜrdz mən ,HURDZ-muhn
herdwick, ˈhɜːdwɪk ,
here, hɪər ,heer
hereabouts, ˈhɪərəˌbaʊts ,
hereafter," hɪərˈæf tər, -ˈɑf- ","heer-AF-ter, -AHF-"
hereby," hɪərˈbaɪ, ˈhɪərˌbaɪ ","heer-BAHY,HEER-bahy"
hereditament, ˌhɛr ɪˈdɪt ə mənt ,her-i-DIT-uh-muhnt
hereditary, həˈrɛd ɪˌtɛr i ,huh-RED-i-ter-ee
heredity, həˈrɛd ɪ ti ,huh-RED-i-tee
hereford," ˈhɜr fərd, ˈhɛr ə-, ˈhɛr ə fərd, ˈhɜr fərd ","HUR-ferd,HER-uh-,HER-uh-ferd,HUR-ferd"
herefordshire," ˈhɛr ə fərdˌʃɪər, -ʃər ","HER-uh-ferd-sheer, -sher"
herein, hɪərˈɪn ,heer-IN
heresy, ˈhɛr ə si ,HER-uh-see
heretic," ˈhɛr ɪ tɪk, ˈhɛr ɪ tɪk, həˈrɛt ɪk ","HER-i-tik,HER-i-tik, huh-RET-ik"
heretical, həˈrɛt ɪ kəl ,huh-RET-i-kuhl
heretofore," ˌhɪər təˈfɔr, -ˈfoʊr ","heer-tuh-FAWR, -FOHR"
hereupon," ˌhɪər əˈpɒn, -ˈpɔn ","heer-uh-PON, -PAWN"
hereward, ˈhɛrɪwəd ,
herewith," hɪərˈwɪθ, -ˈwɪð ","heer-WITH, -WITH"
hering, ˈheɪ rɪŋ ,HEY-ring
heritability, ˌhɛr ɪ tə ˈbɪl ɪ ti ,her-i-tuhBIL-i-tee
heritable, ˈhɛr ɪ tə bəl ,HER-i-tuh-buhl
heritage, ˈhɛr ɪ tɪdʒ ,HER-i-tij
herman, ˈhɜr mən ,HUR-muhn
hermann," ˈhɜːmən, ˈhɛrman ",
hermaphrodite, hɜrˈmæf rəˌdaɪt ,hur-MAF-ruh-dahyt
hermaphroditic, hərˌmæf rəˈdɪt ɪk ,her-maf-ruh-DIT-ik
hermes, ˈhɜr miz ,HUR-meez
hermetic, hɜrˈmɛt ɪk ,hur-MET-ik
hermetically, hɜrˈmɛt ɪk li ,hur-MET-ik-lee
hermione, hɜrˈmaɪ əˌni ,hur-MAHY-uh-nee
hermit, ˈhɜr mɪt ,HUR-mit
hermitage," ˈhɜr mɪ tɪdʒ, ˌɛr mɪˈtɑʒ ","HUR-mi-tij, er-mi-TAHZH"
hern, hɜrn ,hurn
hernandez, ɛrˈnɑn dɛs ,er-NAHN-des
herndon, ˈhɜrn dən ,HURN-duhn
herne, hɜrn ,hurn
hernia, ˈhɜr ni ə ,HUR-nee-uh
hero, ˈhɪər oʊ ,HEER-oh
herod, ˈhɛr əd ,HER-uhd
herodias, həˈroʊ di əs ,huh-ROH-dee-uhs
herodotus, həˈrɒd ə təs ,huh-ROD-uh-tuhs
heroic, hɪˈroʊ ɪk ,hi-ROH-ik
heroics, hɪˈrəʊɪks ,
heroin, ˈhɛr oʊ ɪn ,HER-oh-in
heroine, ˈhɛr oʊ ɪn ,HER-oh-in
heroism, ˈhɛr oʊˌɪz əm ,HER-oh-iz-uhm
herold, eɪˈrɔld ,ey-RAWLD
heron, ˈhɛr ən ,HER-uhn
herpes, ˈhɜr piz ,HUR-peez
herpetology, ˌhɜr pɪˈtɒl ə dʒi ,hur-pi-TOL-uh-jee
herr," hɛr, hɛər ","her, hair"
herrera, ɛrˈrɛ rɑ ,er-RE-rah
herrick, ˈhɛr ɪk ,HER-ik
herrin, ˈhɛr ɪn ,HER-in
herring, ˈhɛr ɪŋ ,HER-ing
herriot, ɛˈryoʊ ,e-RYOH
herrmann, ˈhɜr mən ,HUR-muhn
hers, hɜrz ,hurz
herschel, ˈhɜr ʃəl ,HUR-shuhl
herself, hərˈsɛlf ,her-SELF
hersey," ˈhɜr si, -zi ","HUR-see, -zee"
hershey, ˈhɜr ʃi ,HUR-shee
hertz, hɜrts ,hurts
herzberg, ˈhɜrts bɜrg ,HURTS-burg
herzegovina, ˌhɛr tsə goʊˈvi nə ,her-tsuh-goh-VEE-nuh
herzl," ˈhɛr tsəl, ˈhɜrt səl, ˈhɛərt- ","HER-tsuhl,HURT-suhl,HAIRT-"
herzog," ˈhɜrt sɒg, ˈhɜr zɒg, ɛrˈzɔg ","HURT-sog,HUR-zog, er-ZAWG"
hes," hiz, iz ","heez, eez"
hesiod," ˈhi si əd, ˈhɛs i- ","HEE-see-uhd,HES-ee-"
hesitancy, ˈhɛz ɪ tən si ,HEZ-i-tuhn-see
hesitant, ˈhɛz ɪ tənt ,HEZ-i-tuhnt
hesitate, ˈhɛz ɪˌteɪt ,HEZ-i-teyt
hesitation, ˌhɛz ɪˈteɪ ʃən ,hez-i-TEY-shuhn
hess, hɛs ,hes
hesse," ˈhɛs ə, hɛs ","HES-uh, hes"
hessian, ˈhɛʃ ən ,HESH-uhn
hester, ˈhɛs tər ,HES-ter
hetero, ˈhɛt əˌroʊ ,HET-uh-roh
heterodox, ˈhɛt ər əˌdɒks ,HET-er-uh-doks
heterogeneity, ˌhɛt ə roʊ dʒəˈni ɪ ti ,het-uh-roh-juh-NEE-i-tee
heterogeneous," ˌhɛt ər əˈdʒi ni əs, -ˈdʒin yəs ","het-er-uh-JEE-nee-uhs, -JEEN-yuhs"
heteronomy, ˌhɛt əˈrɒn ə mi ,het-uh-RON-uh-mee
heteronormative, ˌhɛt ər əˈnɔr mə tɪv ,het-er-uh-NAWR-muh-tiv
heterosexual," ˌhɛt ər əˈsɛk ʃu əl, -ˈsɛks yu- ","het-er-uh-SEK-shoo-uhl, -SEKS-yoo-"
heterosexuality," ˌhɛt ər əˌsɛk ʃuˈæl ɪ ti, -ˌsɛks yu- ","het-er-uh-sek-shoo-AL-i-tee, -seks-yoo-"
heth," hɛt, hɛs, xɛt, xɛs ","het, hes,khet,khes"
hew," hyu, yu ","hyoo, yoo"
hewish," ˈhyu ɪʃ, ˈyu- ","HYOO-ish,YOO-"
hewitt, ˈhjuːɪt ,
hewlett," ˈhyu lɪt, ˈyu- ","HYOO-lit,YOO-"
hewn," hyun, yun ","hyoon, yoon"
hex, hɛks ,heks
hexachloride," ˌhɛk səˈklɔr aɪd, -ˈkloʊr- ","hek-suh-KLAWR-ahyd, -KLOHR-"
hexafluoride," ˌhɛk səˈflʊər aɪd, -ˈflɔr-, -ˈfloʊr- ","hek-suh-FLOOR-ahyd, -FLAWR-, -FLOHR-"
hexagon," ˈhɛk səˌgɒn, -gən ","HEK-suh-gon, -guhn"
hexavalent, ˈhɛk səˌveɪ lənt ,HEK-suh-vey-luhnt
hey, heɪ ,hey
heyday, ˈheɪˌdeɪ ,HEY-dey
heyer, ˈheɪə ,
heyward, ˈheɪ wərd ,HEY-werd
heywood, ˈheɪ wʊd ,HEY-wood
hezbollah," ˌhɛz bəˈlɑ, ˌxɛs bɑˈlɑ ","hez-buh-LAH,khes-bah-LAH"
hezekiah, ˌhɛz əˈkaɪ ə ,hez-uh-KAHY-uh
hi, haɪ ,hahy
hialeah, ˌhaɪ əˈli ə ,hahy-uh-LEE-uh
hiatus, haɪˈeɪ təs ,hahy-EY-tuhs
hibernal, haɪˈbɜr nl ,hahy-BUR-nl
hibernate, ˈhaɪ bərˌneɪt ,HAHY-ber-neyt
hibernation, ˌhaɪ bərˈneɪ ʃən ,hahy-ber-NEY-shuhn
hibernian, haɪˈbɜr ni ən ,hahy-BUR-nee-uhn
hibiscus," haɪˈbɪs kəs, hɪ- ","hahy-BIS-kuhs, hi-"
hiccup," ˈhɪk ʌp, -əp ","HIK-uhp, -uhp"
hick, hɪk ,hik
hickey, ˈhɪk i ,HIK-ee
hickory," ˈhɪk ə ri, ˈhɪk ri ","HIK-uh-ree,HIK-ree"
hicks, hɪks ,hiks
hid, hɪd ,hid
hidalgo," hɪˈdæl goʊ, iˈðɑl gɔ ","hi-DAL-goh, ee-THAHL-gaw"
hidatsa, hiˈdɑt sɑ ,hee-DAHT-sah
hidden, ˈhɪd n ,HID-n
hide, haɪd ,hahyd
hideaway, ˈhaɪd əˌweɪ ,HAHYD-uh-wey
hidebound, ˈhaɪdˌbaʊnd ,HAHYD-bound
hideous, ˈhɪd i əs ,HID-ee-uhs
hideout, ˈhaɪdˌaʊt ,HAHYD-out
hiding, ˈhaɪ dɪŋ ,HAHY-ding
hidy, ˈhaɪ di ,HAHY-dee
hie, haɪ ,hahy
hierarch," ˈhaɪ əˌrɑrk, ˈhaɪ rɑrk ","HAHY-uh-rahrk,HAHY-rahrk"
hierarchical," ˌhaɪ əˈrɑr kɪ kəl, haɪˈrɑr- ","hahy-uh-RAHR-ki-kuhl, hahy-RAHR-"
hierarchy," ˈhaɪ əˌrɑr ki, ˈhaɪ rɑr- ","HAHY-uh-rahr-kee,HAHY-rahr-"
hieroglyph," ˈhaɪ ər əˌglɪf, ˈhaɪ rəˌglɪf ","HAHY-er-uh-glif,HAHY-ruh-glif"
hieroglyphics, ˌhaɪərəˈɡlɪfɪks ,
hieronymus," ˌhaɪ əˈrɒn ə məs, haɪˈrɒn- ","hahy-uh-RON-uh-muhs, hahy-RON-"
higgins, ˈhɪg ɪnz ,HIG-inz
high, haɪ ,hahy
highball, ˈhaɪˌbɔl ,HAHY-bawl
highboy, ˈhaɪˌbɔɪ ,HAHY-boi
highbrow, ˈhaɪˌbraʊ ,HAHY-brou
higher, ˈhaɪə ,
highfalutin, ˌhaɪ fəˈlut n ,hahy-fuh-LOOT-n
highflying, ˈhaɪˈflaɪ ɪŋ ,HAHY-FLAHY-ing
highland, ˈhaɪ lənd ,HAHY-luhnd
highlander, ˈhaɪ lən dər ,HAHY-luhn-der
highlands, ˈhaɪ ləndz ,HAHY-luhndz
highlight, ˈhaɪˌlaɪt ,HAHY-lahyt
highlighter, ˈhaɪˌlaɪ tər ,HAHY-lahy-ter
highlighting, ˈhaɪˌlaɪ tɪŋ ,HAHY-lahy-ting
highly, ˈhaɪ li ,HAHY-lee
highness, ˈhaɪ nɪs ,HAHY-nis
highroad, ˈhaɪˌroʊd ,HAHY-rohd
highsmith, ˈhaɪˌsmɪθ ,
highway, ˈhaɪˌweɪ ,HAHY-wey
highwayman, ˈhaɪˌweɪ mən ,HAHY-wey-muhn
hijab," hɪˈdʒɑb, -ˈdʒæb ","hi-JAHB, -JAB"
hijack, ˈhaɪˌdʒæk ,HAHY-jak
hike, haɪk ,hahyk
hilarious," hɪˈlɛər i əs, -ˈlær-, haɪ- ","hi-LAIR-ee-uhs, -LAR-, hahy-"
hilarity," hɪˈlær ɪ ti, -ˈlɛər-, haɪ- ","hi-LAR-i-tee, -LAIR-, hahy-"
hilary, ˈhɪl ə ri ,HIL-uh-ree
hilda, ˈhɪl də ,HIL-duh
hildebrand, ˈhɪl dəˌbrænd ,HIL-duh-brand
hill, hɪl ,hil
hillary, ˈhɪl ə ri ,HIL-uh-ree
hillbilly, ˈhɪlˌbɪl i ,HIL-bil-ee
hillel," ˈhɪl ɛl, -eɪl, -əl, hɪˈleɪl, hiˈlɛl ","HIL-el, -eyl, -uhl, hi-LEYL, hee-LEL"
hilliard, ˈhɪl yərd ,HIL-yerd
hillis, ˈhɪl ɪs ,HIL-is
hillman, ˈhɪl mən ,HIL-muhn
hillock, ˈhɪl ək ,HIL-uhk
hills, hɪlz ,
hillsborough," ˈhɪlzˌbɜr oʊ, -ˌbʌr oʊ ","HILZ-bur-oh, -buhr-oh"
hillside, ˈhɪlˌsaɪd ,HIL-sahyd
hilltop, ˈhɪlˌtɒp ,HIL-top
hilly, ˈhɪl i ,HIL-ee
hilt, hɪlt ,hilt
hilton, ˈhɪl tn ,HIL-tn
hilum, ˈhaɪ ləm ,HAHY-luhm
him, hɪm ,him
himalayan, ˌhɪməˈleɪən ,
himalayas," ˌhɪm əˈleɪ əz, hɪˈmɑl yəz ","him-uh-LEY-uhz, hi-MAHL-yuhz"
himbo, ˈhɪm boʊ ,HIM-boh
hims, hɪmz ,
himself," hɪmˈsɛlf, ɪmˈsɛlf ","him-SELF, im-SELF"
hinckley, ˈhɪŋklɪ ,
hind, haɪnd ,hahynd
hindemith," ˈhɪn də mɪθ, ‑mɪt ","HIN-duh-mith, ‑mit"
